,GHGRP ID,Landfill ID,Landfill Name,State,Physical Address,City,County,Zip Code,Latitude,Longitude,Ownership Type,Landfill Owner Organization(s),Year Landfill Opened,Landfill Closure Year,Current Landfill Status,Waste in Place (tons),Waste in Place Year,LFG Collection System In Place?,LFG Collected (mmscfd),LFG Flared (mmscfd),Project ID,Current Project Status,Project Name,Project Start Date,Project Shutdown Date,Project Type Category,LFG Energy Project Type,RNG Delivery Method,Actual MW Generation,Rated MW Capacity,LFG Flow to Project (mmscfd),Current Year Emission Reductions (MMTCO2e/yr) - Direct,Current Year Emission Reductions (MMTCO2e/yr) - Avoided
19,,2180,Glenns Ferry Landfill,ID,Interstate 84 & Hwy 30,Glenns Ferry,Elmore,83623.0,,,Public,"Elmore County, ID",1958.0,2050.0,Open,,,No,,,180257-0,Unknown,,,,Unknown,Unknown,,,,,,
20,,2177,Goodrich Landfill,ID,"Goodrich Road
2 miles west of I-95",Council,Adams,83612.0,44.635,-116.486,Public,"Adams County, ID",,,Open,,,No,,,180254-0,Unknown,,,,Unknown,Unknown,,,,,,
21,,2181,Hub Butte Landfill,ID,2900 N. 2800 E.,Twin Falls,Twin Falls,83301.0,42.4182,-114.4991,Public,"Twin Falls County, ID",1994.0,,Open,,,No,,,180258-0,Unknown,,,,Unknown,Unknown,,,,,,
22,,2182,Island Park Sanitary Landfill,ID,3970 Kilgore-Yale Road,Island Park,Fremont,83429.0,44.4505,-111.3705,Public,"Fremont County, ID",1980.0,,Open,50000.0,2009.0,No,,,180259-0,Future Potential,,,,Unknown,Unknown,,,,,,
23,,2184,Latah Sanitary Landfill,ID,3299 Highway 8,Moscow,Latah,83843.0,46.71,-116.902,Private,Latah Sanitation Inc,1971.0,1993.0,Closed,,,No,,,180261-0,Low Potential,,,,Unknown,Unknown,,,,,,
24,,2185,Lemhi County Landfill 1,ID,"Landfill Rd
off of Hot Springs Rd",Salmon,Lemhi,83467.0,45.118893,-113.861523,Public,"Lemhi County, ID",1980.0,,Open,,,No,,,180262-0,Unknown,,,,Unknown,Unknown,,,,,,
25,,2188,Lemhi County Landfill 2,ID,"Landfill Road
off of Hot Springs Road",Salmon,Lemhi,83467.0,45.126,-113.833,Public,"Lemhi County, ID",1993.0,2015.0,Closed,,,No,,,180265-0,Unknown,,,,Unknown,Unknown,,,,,,
26,1004840.0,2191,Milner Butte Landfill,ID,1050 West 400 South,Burley,Cassia,83318.0,42.462,-114.005,Public,"Southern Idaho Regional Solid Waste District, ID",1994.0,2060.0,Open,5046297.0,2021.0,Yes,1.097,0.243,180268-0,Operational,Project #1,2018-06-27 00:00:00,,Electricity,Reciprocating Engine,,1.99,2.6,0.913,0.1007,0.01031
27,1004840.0,2191,Milner Butte Landfill,ID,1050 West 400 South,Burley,Cassia,83318.0,42.462,-114.005,Public,"Southern Idaho Regional Solid Waste District, ID",1994.0,2060.0,Open,5046297.0,2021.0,Yes,1.097,0.243,180268-1,Planned,"Project #1, Expansion #1",2023-12-31 00:00:00,,Electricity,Reciprocating Engine,,,1.3,,0.0,0.0
28,1007349.0,20895,Mud Lake Landfill,ID,925 E. Salmon Highway,Terreton,Jefferson,83450.0,43.854,-112.508,Public,"Jefferson County, ID",1970.0,1996.0,Closed,313070.321,1996.0,No,,,201110-0,Low Potential,,,,Unknown,Unknown,,,,,,
