ST_ABBREV,CNTY_NAME,ACSTOTPOP,ACSTOTHH,MINORPOP,LOWINCOME,UNEMPLOYED,LESSHS,PM25,OZONE,DSLPM,CANCER,RESP,PTRAF,PNPL,PRMP,PTSDF,UST,PWDIS,AREALAND,AREAWATER,NPL_CNT,TSDF_CNT
AK,Aleutians East Borough,3389.0,988.0,2939.0,1011.0,86.0,354.0,,,0.000928219402232,8.0,0.10000000000000002,,0.0011159658244953333,2.234236502984517,0.004049198169079,0.00042397730339033333,,6030557511.0,6933283710.0,0.0,0.0
AK,Aleutians West Census Area,5708.0,1306.0,4385.0,1109.0,159.0,345.0,,,0.109595191296334,8.0,0.10000000000000002,,0.040295420603344664,1.9407811318931198,0.008495065703415334,0.003795226456438667,,3792628341.6666665,8394545251.333333,0.3333333333333333,0.3333333333333333
AK,Anchorage Municipality,292090.0,106970.0,126363.0,62252.0,8055.0,11555.0,,,0.49635258817445105,48.35,0.6265,633.0670231315033,0.1318202857528589,0.8697816051680995,0.3541121354732355,5.700917056168996,,22102956.745,3106510.985,0.01,0.015
AK,Bethel Census Area,18263.0,4499.0,16544.0,9872.0,1342.0,1628.0,,,0.0020932116042271,8.0,0.1,,0.0015253992213895,0.0035666051213872002,0.0023085470422324,0.35060102977449853,,10522380436.4,1276467530.6,0.0,0.0
AK,Bristol Bay Borough,739.0,284.0,385.0,107.0,17.0,35.0,,,0.00258330422587,8.0,0.1,,0.002072157561636,0.508547482137366,0.007272057841366,0.043802340135805,,1248315815.0,949775630.0,0.0,0.0
AK,Chugach Census Area,6495.0,2310.0,1731.0,1023.0,103.0,204.0,,,0.0028668065511232854,8.0,0.1,22.577655350858027,0.005813280754732572,0.8839494034209664,0.08426770739723001,0.06410813057933672,,3526024051.285714,2076989817.4285715,0.0,0.14285714285714285
AK,Copper River Census Area,2894.0,1063.0,1249.0,877.0,71.0,86.0,,,0.000330093663582,8.0,0.1,2.57557420521703,0.003993629583688501,0.00808908793424,0.013024279483318999,0.0004125839930185,,31976167796.0,608714968.5,0.0,0.5
AK,Denali Borough,2502.0,726.0,477.0,754.0,63.0,42.0,,,0.001016685149697,8.0,0.1,2.726923712475494,0.009190834903201,0.009725649091784,0.10739912667002299,0.000598870442295,,16370082791.0,33052838.5,0.0,0.5
AK,Dillingham Census Area,4934.0,1430.0,4198.0,2374.0,256.0,391.0,,,0.0022011070266285,9.0,0.1,,0.0018365790228495001,0.133983831187522,0.005218305910055,0.019392432185712,,23742412621.0,2971939941.5,0.0,0.0
AK,Fairbanks North Star Borough,98455.0,36199.0,30764.0,20062.0,3394.0,3425.0,,,0.13272292608386924,15.063492063492063,0.22698412698412698,185.15545231547858,0.132946231904199,0.22228325129649285,0.495616221812747,3.5729359448056264,,301540765.26984125,4116560.6825396824,0.031746031746031744,0.07936507936507936
AK,Haines Borough,2547.0,917.0,710.0,646.0,93.0,34.0,,,0.008921043890487,8.0,0.10000000000000002,4.816195782825373,0.0022826477736046665,0.029867698942821333,0.09206571297678867,0.24077042289134964,,2023119651.6666667,347071440.3333333,0.0,0.3333333333333333
AK,Hoonah-Angoon Census Area,2135.0,755.0,1162.0,653.0,128.0,105.0,,,0.006667994894759,8.0,0.10000000000000002,0.69430413101552,0.0032455875494906672,0.030992829079561,0.012160055083424,0.00043643912020833336,,5659346501.333333,2601628718.6666665,0.0,0.0
AK,Juneau City and Borough,32099.0,12878.0,11733.0,5053.0,758.0,851.0,,,0.053348341863870136,9.19047619047619,0.1,238.88659051851175,0.0030555429168275714,0.018861691458908807,0.015408402146880096,2.0382036094812515,,333495563.61904764,67915752.0,0.0,0.047619047619047616
AK,Kenai Peninsula Borough,58809.0,21781.0,12245.0,15947.0,2146.0,2887.0,,,0.03720551318813935,9.514285714285714,0.16285714285714287,46.42409569134358,0.008309502145916428,0.08490898851430488,0.05558767870305074,0.23960168986662925,,1185283524.2,644033837.6285714,0.0,0.08571428571428572
AK,Ketchikan Gateway Borough,13833.0,5299.0,5094.0,3187.0,416.0,593.0,,,0.07358921512552791,8.727272727272727,0.1,172.33565359345866,0.01610500908016309,1.9264809739614364,0.002267454175335,0.5437369769447269,,1143580229.4545455,422873787.1818182,0.0,0.0
AK,Kodiak Island Borough,13383.0,4231.0,6988.0,2725.0,421.0,929.0,,,0.040360317641447305,8.1,0.1,170.46513845080605,0.0023748219493732,1.8183469836806705,0.2033840591603568,2.165268774454037,,1732406723.1,1414886437.0,0.0,0.1
AK,Kusilvak Census Area,8298.0,1750.0,8028.0,5772.0,649.0,867.0,,,,,,,0.0013546870453205,0.00227333528398225,0.001649010612301,0.0,,11057347160.0,1671546763.5,0.0,0.0
AK,Lake and Peninsula Borough,1156.0,366.0,877.0,441.0,115.0,85.0,,,3.4429410447e-05,8.0,0.1,,0.002487068317056,0.008160824795051,0.061478420246455,0.000222552373419,,61724164724.0,25989695209.0,0.0,1.0
AK,Matanuska-Susitna Borough,107360.0,31964.0,23177.0,24873.0,4755.0,4499.0,,,0.11088344704110037,10.360655737704919,0.17868852459016393,55.29691583991501,0.024397302964779967,0.1064327714073032,0.02452745083646977,0.40266168914741235,,1049028641.2131147,23715294.75409836,0.0,0.0
AK,Nome Census Area,10009.0,2777.0,8575.0,4431.0,809.0,773.0,,,0.0017021648965618,8.8,0.1,,0.001195010286984,0.0014325193986046,0.0013034545755868,0.73668663751539,,11898126862.0,2756151618.6,0.0,0.0
